Sample-768 Sample-770 Sample-772 Sample-774 Sample-776 Sample-778 Sample-769 Sample-771 Sample-773 Sample-775 Sample-777 Sample-779
236216_at 6.17608944283508 7.98684590508541 7.84729586553828 7.00617695124394 7.39714613698106 7.67647400832503 6.45971282363433 6.78386013878858 8.03487631275196 6.04088056798572 5.4958317619855 6.56314098422108
213664_at 8.35702550644172 5.16461853738456 4.24999341150837 5.27372674333983 5.664688555181 7.09610071544909 5.96201186236664 4.46383531758091 4.9021311230233 5.33273834873482 4.61594235943597 6.78516345145914
216883_x_at 5.20494294248502 5.24858613655955 4.64903532010482 5.0447809124641 5.68230297704886 4.51755601148057 5.08942603126119 5.61345969508348 6.13570589101138 5.03267875022032 5.59878875820148 5.08255235011725
203930_s_at 3.84049301812858 3.53820965302237 3.35733901213673 3.65638961271799 3.6190325795386 3.39614929677694 3.26892605842585 3.48896278855418 3.90975640651016 3.52194999282457 3.24863134695267 3.40006799540411
204033_at 4.52110840176638 4.14681384935867 4.40952552935664 4.46050710745645 4.55969364641213 4.5595758221454 5.06303142844892 5.6955304086213 4.6061330469014 4.8431840466713 4.78639902094859 5.42867468074871
212724_at 10.1211717357063 9.6338147731193 8.15462119450699 9.68873753205091 8.8587328778746 9.27643697256522 8.48291940086002 8.97210277074257 8.38628236884456 6.58511781473548 8.46731375410887 8.15992781941254
235261_at 2.51926951476592 2.60060175932968 2.58694536239859 2.6896165596195 2.46874916880269 2.52368859935371 2.39990988348022 2.41037926513098 2.93803249887266 2.56923063920603 2.46923509389614 2.50559813739619
230184_at 3.39385278436326 3.21582405040345 3.0658704465935 3.30415536234119 3.24856045932271 3.14544144023464 3.01276379707469 3.15556831804685 3.69225099459752 3.31849629918126 3.11595996470261 3.30551858509149
229768_at 3.72192108051596 2.93078077926373 3.26322709962741 4.12630562789162 4.15477834941426 3.78730038542712 5.43118870503279 2.92082914145407 3.38346168209822 4.00557666369977 4.39057657695956 4.14475555457517
232536_at 4.57424383151537 4.36147767896969 4.45085384796463 4.55000892058786 4.56367543103175 4.06619373685026 4.36701746792441 4.68802322255765 4.91056475597179 4.6066656064224 4.17791621756047 4.83085850291944
206975_at 4.63410247426812 4.9688463122191 5.21743296571226 4.8577926384297 5.02385313481516 4.81079334923807 4.6224104573951 5.0817397674506 6.01814025346172 5.25895414274549 4.79553864999581 5.39738214435522
222448_s_at 7.42959365232845 7.5873008911544 6.16778188760289 7.95358645977679 6.89776854621872 7.78960103751146 8.55305707364218 8.52693671263898 6.64934368990606 7.68735870085613 8.51937074076336 8.05070569567784
1564795_at 2.17466141460145 1.93394970643754 2.6428946135613 2.45609008773236 2.04697409339118 1.99375029943775 1.92835547991133 2.43968149510954 2.08888006396509 2.24805466053322 2.25997850815055 2.03702573021682
1556829_at 2.86133213061229 3.05774430748993 2.92982386287041 2.99607864135876 2.80214207565542 2.36353352281813 2.55113428165984 2.84841533131853 2.70216883552181 2.66532775980974 2.29017920519855 2.77145949940848
205233_s_at 4.54356129396257 3.68853049574802 4.34967589601564 4.24597340356333 4.70885894423264 4.35422691794468 3.91692461019304 4.02212032988738 4.36825439442008 4.21112661290274 4.96082479871003 4.20030840680615
204472_at 8.92132702996329 8.92781008942942 9.18603423335628 10.1365282445247 9.58356514700942 8.68496811513319 7.80121263589242 9.29505255601001 8.96347819159287 8.0554509588955 10.7633247029632 7.24631448117235
235975_at 2.85193071905525 2.77426331275131 2.90910489919367 3.64769017461876 2.88110530280916 3.49696717530932 3.24320642626674 2.64233364861453 4.14491412052546 2.89374868882112 2.89548673440433 3.87684954407275
1561482_at 2.15438253112091 2.4912144958009 2.27082071918215 2.0884212338986 2.53609152256706 2.29341277542791 2.29357222447116 2.3009920016022 2.26514510435454 2.48184694766397 2.35344809538062 2.739782055636
213597_s_at 2.73559467387218 2.60553877164563 2.6682486859997 2.40197471938985 2.60587298778421 2.77353764645366 2.73022951971676 2.62974265407701 2.7255038500572 2.57888844618837 3.36129344599554 2.77192489144678
1555900_at 5.30750391424376 5.78139142100819 4.07350005397745 3.97718294441868 4.76742049997111 4.71672401012696 6.13934727360214 7.12064280886926 5.21117280870002 4.98506667561899 5.0438515878331 5.07830995224853
202864_s_at 6.59324499708051 7.77050989786928 7.82488603051491 7.69408106853457 7.42105003990701 7.76453635910899 7.67532789985972 7.51558631615367 7.58035995615467 7.38954101843879 8.37898486934861 8.26070848194605
222893_s_at 4.55681614743642 5.6706702602252 5.4878387081299 5.05835948774417 6.07769727367386 6.43856148410788 6.38542251873567 5.70496457408931 4.68827592202965 5.88425454447553 5.70721227405939 5.16033996309899
207857_at 4.58317869599595 4.79984181122943 4.58713633804782 4.24714963705435 4.44570523972176 4.5117899261987 5.75935292086813 4.80362043351444 5.43221833033963 5.7620423859549 5.26181864355486 5.46797189872387
1558097_at 7.52233568382129 8.09461629924107 6.8064750453672 7.38596806286686 7.15219350997591 7.21817113933933 8.17167840909965 7.8920452318091 6.58620880533505 7.77779024816406 6.31676402322453 6.7265068832825
213912_at 2.48435765096895 3.36742126577972 3.16633577345706 4.2970337400879 3.00223439997944 3.99054095795992 3.28985573637973 2.45685540590079 2.45477327238739 2.8637060850557 3.48991399353406 3.13293037978279
206151_x_at 5.60938863751842 4.19467329003435 4.15557732088258 3.76860848319479 3.98164893715669 4.01031187672733 4.0765771205166 3.90031946474971 4.58692985793094 3.99624299588345 4.57802324283459 3.73946251921483
