GSM947269	GSM947270	GSM947271	GSM947272	GSM947273	GSM947274	GSM947275	GSM947276	GSM947277	GSM947278	GSM947279	GSM947280	GSM947281	GSM947282	GSM947283	GSM947284	GSM947285	GSM947286	GSM947287	GSM947288	GSM947289	GSM947290	GSM947291	GSM947292	GSM947293	GSM947294	GSM947295	GSM947296	GSM947297	GSM947298	GSM947299	GSM947300	GSM947301	GSM947302	GSM947303	GSM947304	GSM947305	GSM947306	GSM947307	GSM947308	GSM947309	GSM947310	GSM947311	GSM947312	GSM947313
LINC01981-4956	7.54428	81.4706	3.7379	88.2916	46.1743	120.949	8.77599	87.381	159.624	3.42891	3.80637	19.4376	137.626	3.99237	211.516	39.4008	43.6752	3.81368	11.4703	9.6973	3.32135	16.3233	261.246	54.9628	322.679	6.80129	182.93	89.5223	30.4931	343.533	9.90258	98.7783	143.721	38.5815	132.935	28.4304	20.0016	8.46698	7.73582	100.853	5.51134	51.053	177.957	37.4796	67.0519
MED7-10982	253.804	389.769	573.625	348.352	536.961	127.804	448.15	241.722	388.855	412.683	559.491	202.167	394.571	621.123	347.454	343.686	448.723	815.714	525.318	446.122	256.726	425.267	222.228	467.707	611.476	262.025	314.759	452.731	315.61	523.311	431.941	374.568	499.637	184.186	219.915	538.353	384.234	338.931	681.348	560.121	621.198	404.529	447.428	397.563	1020.1
GRAMD2B-40378	860.535	808.327	947.505	690.595	688.088	2015.27	631.708	744.54	784.174	238.404	764.953	1122.89	812.165	404.659	954.096	609.431	980.022	227.888	680.965	1036.43	519.628	1731.64	1068.8	1486.92	2579.52	1100.22	1609.75	424.408	680.481	2800.72	563.459	705.468	688.335	1046.91	488.582	483.671	985.714	203.437	446.38	310.776	155.014	710.547	387.783	602.753	415.563
LINC02209-6900	157.096	132.746	116.02	133.507	173.086	152.556	18.6329	205.251	229.568	64.92	111.185	202.045	109.84	15.643	108.508	93.6928	30.0224	11.3105	21.1158	226.305	86.7369	204.255	109.118	390.842	316.995	210.401	37.6683	194.63	175.407	343.445	133.475	174.093	669.929	205.231	290.037	30.7788	69.2082	186.579	65.1325	149.553	17.6107	25.2999	46.8264	12.4332	273.123
HIP1R-16078	47.6507	14.5817	181.115	269.984	213.961	55.9083	138.727	59.6374	519.75	45.2344	89.3951	215.342	24.6736	44.1603	264.025	15.1798	18.1767	114.432	87.9108	48.2874	109.371	144.917	295.713	242.831	291.103	58.4544	405.718	115.819	77.3396	377.397	230.735	43.1406	114.952	39.3626	138.76	166.536	38.1028	67.4298	28.4784	48.1921	73.8679	30.964	40.8356	85.2392	109.645
MDGA1-40713	16.968	337.879	24.75	48.8462	491.415	208.387	46.1508	54.7478	364.61	39.1759	54.9816	54.0068	34.984	36.9366	216.708	56.8912	24.1503	43.0778	71.9197	37.3941	32.3623	48.981	74.4027	78.0068	568.508	94.9977	290.594	90.8556	92.4198	121.37	930.852	216.672	765.092	484.47	46.7987	100.94	95.6314	117.769	64.8015	140.505	63.5157	72.0192	205.965	159.046	194.525
TMC7-25535	291.651	253.636	277.204	403.079	342.713	212.855	174.594	103.65	215.939	49.1691	106.473	197.295	92.3222	117.967	192.32	122.05	132.792	93.6712	253.646	283.458	112.158	316.13	28.602	357.756	124.44	147.46	344.884	235.452	241.745	515.205	278.418	405.363	288.8	279.668	43.1788	267.794	380.037	359.374	266.578	481.036	99.2341	53.1729	429.352	320.143	242.522
DTNBP1-29036	179.69	411.5	265.878	305.292	313.643	411.622	209.096	186.071	243.759	149.673	212.215	233.029	369.887	75.9911	412.724	176.094	123.459	27.7545	159.705	347.418	236.545	298.654	557.668	331.029	527.718	231.561	714.528	417.205	492.586	531.195	773.106	68.4932	448.872	377.469	44.5332	264.172	392.202	340.951	139.999	402.016	40.9589	283.367	455.151	85.5851	511.292
TRIM67-AS1-486	250.019	195.191	270.524	145.314	224.814	358.935	128.165	266.315	221.942	171.899	170	156.035	95.5083	187.604	224.142	98.8531	95.2883	178.72	233.517	266.405	191.137	260.987	879.072	417.364	491.49	111.67	249.59	162.193	304.557	306.214	258.202	284.489	180.007	422.175	295.967	477.714	339.09	279.803	301.902	361.044	118.682	335.415	601.604	351.96	615.317
ZXDC-38369	249.652	332.74	362.249	374.894	306.762	366.649	235.845	547.508	292.696	242.26	319.625	437.856	341.606	350.523	314.426	584.908	687.473	693.92	645.564	453.822	167.899	184.464	458.951	436.785	776.852	12.1017	122.343	227.175	226.212	202.76	134.493	134.243	256.812	13.6844	287.736	340.109	790.609	198.277	470.361	468.642	601.313	422.651	506.234	467.069	138.582
