SRR5892193	SRR5892194	SRR5892196	SRR5892197	SRR5892198	SRR5892199	SRR5892201	SRR5892202	SRR5892203	SRR5892206	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRR402990	SRR402991
Bifidobacterium_dentium	0.000319569324525248	0.000107754606079538	0	0	0	2.37209853976405e-05	0	1.77017058316908e-05	0.000130022985802621	0.000759847767010752	0	0	2.80491657587595e-05	0	0	0	0	9.0923293235432e-05	0.000734095765709209	0	0	0
Bifidobacterium_longum	2.07949416915951e-05	0.00273570603626401	0	0	0.000158326797319127	0	0	0	9.27120420505642e-05	0.000746675974733209	0	0	0	0.000575645245989368	0	0	0	0	0	3.82838692605865e-05	0	0
Bifidobacterium_scardovii	0	0.000129534792414764	0	0	0	0	0	0	0	3.45759547285499e-05	0	0	0	3.54943313732575e-05	0	0	0	0	0	0	0	0
Brochothrix_thermosphacta	0	2.12070235369303e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulleidia_extructa	8.50146145626977e-05	0.000223533491335211	0.00036054729276305	0.00121771359129081	0.000281681812097884	0.00100814187939972	5.22305302736434e-05	6.8764318807722e-05	0.00119734210404326	0.000111136997341768	0.000610265269933794	0.00027356370900213	0.000194572634052868	0.000132876214884502	6.91430257572379e-05	9.66639073763163e-05	0.000315942448202067	0.000222777690985783	0.000210653567551338	6.08037923550491e-05	6.52130010882858e-05	0
Campylobacter_concisus	0.00313606069187217	0.00445748708234343	0.00365234407568969	0.00473610230277676	0.00811408939995733	0.00344024055869897	0.0082657998946472	0.00955755947943368	0.00727789530096929	0.00941289205633905	0.00918004019932436	0.00358060473160139	0.00708787656005031	0.00849770697518218	0.00455370124564569	0.00689385688580839	0.00581419180993645	0.00402155913138572	0.00769578895374074	0.0124096036212036	0.00147886257306661	0.00588368092668474
Campylobacter_curvus	9.84701650690239e-05	0.000189716886235782	0.000114023081336314	0.000175548558338371	0.000145609785486265	7.88373926450992e-05	0.000446507338071025	0.000170889544759784	0.000237433278422177	0.000317769488695721	0.000180256289695747	6.92061833369627e-05	0.000112491917411446	0.00014698293632772	8.86199344212485e-05	0.000118372327253201	0.000123747348133001	9.68598656459928e-05	0.000139995474360137	0.000224636232867265	0.000124816281652848	0.000353620211892428
Campylobacter_gracilis	0.000147705247603536	0.000964632989531181	0.000547581200883882	0.00288666115295843	0.00022095808059597	0.00111000258140135	0.00375231772978089	0.000353353281794136	0.00114985544835883	0.00347076726513254	0.000648271114146753	5.83361021845602e-05	0.000261300123121075	0.000462791474443626	0.000530745761094291	0.000237563840162133	0.000219651542936076	0.000490235900640525	0.00133788127855489	0.000270239077133552	0.000626185053460637	0.0014584336422682
Campylobacter_showae	0.00190059650901858	0.000938267500809592	0.00214255228724442	0.00470025083663723	0.000603740136765104	0.00117558412926542	0.00126818275335151	0.000454797672906518	0.00287068139959003	0.000544159668465988	0.000693878127202303	0.000152543472172049	0.000380582891189905	0.000488274584147504	0.000192821395773706	0.000343238789751496	0.000452064531148368	0.00326573972816747	0.00103301692008195	0.000537663163880295	0.00411543121921666	0.00983144103233128
Campylobacter_sputorum	4.2201499315296e-05	0	0	3.46152086864394e-05	2.38443971866155e-05	0	0	0	4.63560210252821e-05	2.05809254336607e-05	2.38893877910026e-05	0	2.18488238541916e-05	0	0	0	2.08823649974438e-05	1.62474613341665e-05	0	1.46379500114007e-05	0	0
Campylobacter_ureolyticus	7.43113357508472e-05	1.89143723437487e-05	3.69560975082126e-05	2.34888916086553e-05	2.03472189325785e-05	1.60465489454627e-05	0	0	4.86172903435886e-05	0	2.17176252645478e-05	0	2.45061132418635e-05	2.27527765213189e-05	0	0	2.55228905524314e-05	2.65583502577722e-05	0	0	0	0
Capnocytophaga_gingivalis	0.00261374068585387	0.0012752872262073	0.00395340106514684	0.00418720399360608	0.000496599312073245	0.000495349989186021	0.000243317836152827	0.000471137709058848	0.00179883974271278	0.000384451687100781	0.000369199629497313	0.000118483884561188	0.00012371158371495	0.000217061488013382	6.71953348908368e-05	0.000246984475203045	0.00159247368628655	0.00397312919856272	0.00122341956995856	9.28946827646584e-05	0.00615035733919736	0.0230232730047929
